fap_subtype,rank,gene,score,logfoldchange,pvals_adj
ECM-remodeling FAP,38,SEMA3C,20.433813,,4.34825527022233e-91
ECM-remodeling FAP,39,MGST1,20.217339,,3.518671319097702e-89
ECM-remodeling FAP,40,ADAMTS5,20.0928,,4.284058175672361e-88
ECM-remodeling FAP,41,PLIN2,19.925581,,1.2061820839991507e-86
ECM-remodeling FAP,42,HTRA3,19.896786,,2.1085070726874558e-86
ECM-remodeling FAP,43,DBI,19.859804,,4.336004965312153e-86
ECM-remodeling FAP,44,ARL6IP5,19.652624,,2.584598828376712e-84
ECM-remodeling FAP,45,DPP4,19.550095,,1.8797480346500123e-83
ECM-remodeling FAP,46,NDUFB1,19.07893,,1.6744943308123818e-79
ECM-remodeling FAP,47,TMA7,19.015703,,5.520754380229317e-79
ECM-remodeling FAP,48,LTBP2,18.22615,,1.285844305614012e-72
ECM-remodeling FAP,49,PFN1,18.179726,,2.9232602188485956e-72
ECM-remodeling FAP,50,PTHLH,18.147058,,5.232790774218689e-72
ECM-remodeling FAP,51,UAP1,18.079782,,1.7539786204903275e-71
ECM-remodeling FAP,52,EIF5A,18.028065,,4.364234881398326e-71
ECM-remodeling FAP,53,COX5B,17.93542,,2.237916820441765e-70
ECM-remodeling FAP,54,SNX3,17.653957,,3.2855654641645522e-68
ECM-remodeling FAP,55,LOXL1,17.629124,,5.0409844348305815e-68
ECM-remodeling FAP,56,PPDPF,17.56594,,1.520669134042507e-67
ECM-remodeling FAP,57,COX4I1,17.545792,,2.144377873729198e-67
ECM-remodeling FAP,58,COL12A1,17.463982,,8.9221123262466e-67
ECM-remodeling FAP,59,HSPB1,17.414644,,2.09219295912787e-66
ECM-remodeling FAP,60,TPM4,17.316296,,1.148344874293955e-65
ECM-remodeling FAP,61,NOVA1,17.301117,,1.4787781578925236e-65
ECM-remodeling FAP,62,COX6A1,17.161375,,1.6389417813512076e-64
ECM-remodeling FAP,63,UQCRB,17.14443,,2.1710738565434697e-64
ECM-remodeling FAP,64,HLA-B,17.116093,,3.4970383152623894e-64
ECM-remodeling FAP,65,CLEC3B,17.057089,,9.51878882100027e-64
ECM-remodeling FAP,66,RPL36A,17.03928,,1.277853136698852e-63
ECM-remodeling FAP,67,SLPI,16.983002,,3.2733856928715236e-63
