sender,receiver,ligand,receptor,pathway,ligand_mean_log_expr,receptor_mean_log_expr,interaction_score
homeostatic FAP,t_cell,TNF,TNFRSF1A,TNF,0.03608140528943205,0.6682549804617375,0.024111578786721446
myonuclei_muscle_fiber,DA-FAP,TNF,TNFRSF1A,TNF,0.009515472782029539,2.522350703182164,0.02400135946286295
inflammatory FAP,homeostatic FAP,TNF,TNFRSF1A,TNF,0.01144806283965319,2.0915663183626334,0.023944382645917497
unassigned,smooth_muscle_pericyte,JAG1,NOTCH1,NOTCH,0.05644994884448335,0.4233719222603423,0.023899323353786906
t_cell,satellite_cell,JAG1,NOTCH1,NOTCH,0.04633096311092012,0.5126798481511321,0.023752951132402233
schwann_cell,unassigned,COL1A1,ITGA1,ECM_integrin,0.29332353540737777,0.08067536113426722,0.02366398214817022
schwann_cell,adipocyte,WNT5A,FZD4,WNT,0.020446530464991956,1.1517362687629717,0.023549010706898264
macrophage_monocyte,adipogenic FAP,JAG1,NOTCH1,NOTCH,0.33224684850803393,0.07014181446370683,0.023304396804201828
myonuclei_muscle_fiber,unassigned,COL1A1,ITGA1,ECM_integrin,0.28618714599343914,0.08067536113426722,0.02308825135500596
adipocyte,adipocyte,CCL2,CCR2,CCL,3.3379445531361287,0.0069161115969863,0.023085597034042032
b_cell,unassigned,JAG1,NOTCH1,NOTCH,0.05787892581253873,0.397996860625663,0.023035630769776064
endothelial,adipocyte,CCL2,CCR2,CCL,3.3301823187955066,0.0069161115969863,0.023031912555100332
adipogenic FAP,unassigned,SPP1,CD44,SPP1,0.007359465109789853,3.11662203665575,0.022936671139170185
unassigned,myonuclei_muscle_fiber,COL1A1,ITGB1,ECM_integrin,0.014054344686345165,1.624832279599497,0.02283595291499129
myonuclei_muscle_fiber,adipocyte,TGFB1,TGFBR1,TGFB,0.07629339915116821,0.2987653398930812,0.022793823328997282
t_cell,macrophage_monocyte,JAG1,NOTCH1,NOTCH,0.04633096311092012,0.48761209433966923,0.022591537955289717
unassigned,b_cell,FN1,ITGA5,ECM_integrin,0.1305735344425986,0.1729038548259379,0.022576667443372667
schwann_cell,ECM-remodeling FAP,WNT5A,FZD4,WNT,0.020446530464991956,1.0994972114337298,0.02248090322975346
b_cell,ECM-remodeling FAP,COL1A1,ITGA1,ECM_integrin,0.10585858383917068,0.2122363000576248,0.02246703416336546
unassigned,unassigned,JAG1,NOTCH1,NOTCH,0.05644994884448335,0.397996860625663,0.022466902422583646
adipocyte,schwann_cell,PDGFA,PDGFRA,PDGF,0.18131971142777284,0.12218767932812631,0.022155034755805107
inflammatory FAP,unassigned,TNF,TNFRSF1A,TNF,0.01144806283965319,1.9333877306720861,0.022133544234148518
satellite_cell,adipocyte,CCL2,CCR2,CCL,3.198612315159484,0.0069161115969863,0.022121959727137704
adipocyte,schwann_cell,SPP1,CD44,SPP1,0.01829831118952408,1.2064954544612572,0.022076829274478363
smooth_muscle_pericyte,unassigned,CCL2,CCR2,CCL,3.5798670374910477,0.006158302157958443,0.02204590290218542
macrophage_monocyte,myonuclei_muscle_fiber,PDGFA,PDGFRA,PDGF,0.06514546869188097,0.33798758415781355,0.022018359581997327
t_cell,inflammatory FAP,IL6,IL6R,IL6,0.03276613539572399,0.6704619881926974,0.021968448282808223
schwann_cell,DA-FAP,WNT5A,FZD4,WNT,0.020446530464991956,1.0584055064437186,0.02164072043181673
unassigned,schwann_cell,CXCL12,CXCR4,CXCL12,0.01001565066110896,2.15520689292098,0.0215857993419106
t_cell,schwann_cell,PDGFB,PDGFRB,PDGF,0.08350427351246759,0.258392576201786,0.02157688435674506
endothelial,schwann_cell,SPP1,CD44,SPP1,0.01782576593280195,1.2064954544612572,0.021506705570215886
b_cell,unassigned,SPP1,CD44,SPP1,0.006873362243351475,3.11662203665575,0.02142167223354681
