communication_group,gene,mean_log_expr,n_cells
homeostatic FAP,CCL2,1.9093767089035765,7034
homeostatic FAP,CCR2,0.0017490024532727864,7034
homeostatic FAP,CD44,3.673274945417006,7034
homeostatic FAP,COL1A1,5.084146432195795,7034
homeostatic FAP,CXCL12,5.067519483467946,7034
homeostatic FAP,CXCR4,0.05935646971589989,7034
homeostatic FAP,FN1,6.04655092859216,7034
homeostatic FAP,FZD4,1.5486852012099066,7034
homeostatic FAP,IL6,0.3345602152095283,7034
homeostatic FAP,IL6R,1.447118863448856,7034
homeostatic FAP,IL6ST,4.602391633259439,7034
homeostatic FAP,ITGA1,0.17442995850948448,7034
homeostatic FAP,ITGA5,1.1561668961759801,7034
homeostatic FAP,ITGB1,5.5723345420717365,7034
homeostatic FAP,JAG1,1.6343054536371846,7034
homeostatic FAP,NOTCH1,0.05102059749133455,7034
homeostatic FAP,PDGFA,0.2984734361435038,7034
homeostatic FAP,PDGFB,0.016186650699381383,7034
homeostatic FAP,PDGFRA,5.641947012737733,7034
homeostatic FAP,PDGFRB,3.126010886503331,7034
homeostatic FAP,SPP1,0.003305744127084456,7034
homeostatic FAP,TGFB1,0.33921461922644935,7034
homeostatic FAP,TGFBR1,1.4632747626744356,7034
homeostatic FAP,TGFBR2,4.838394943281787,7034
homeostatic FAP,TNF,0.03608140528943205,7034
homeostatic FAP,TNFRSF1A,2.0915663183626334,7034
homeostatic FAP,WNT5A,2.4045408374272883,7034
inflammatory FAP,CCL2,2.7240224263471378,7611
inflammatory FAP,CCR2,0.0,7611
inflammatory FAP,CD44,4.435285456815737,7611
inflammatory FAP,COL1A1,2.581875453457119,7611
inflammatory FAP,CXCL12,5.991529651187526,7611
inflammatory FAP,CXCR4,0.07234803511119856,7611
inflammatory FAP,FN1,3.7081636446023034,7611
inflammatory FAP,FZD4,0.8330476977480459,7611
inflammatory FAP,IL6,0.835768433075461,7611
inflammatory FAP,IL6R,0.6704619881926974,7611
inflammatory FAP,IL6ST,3.2739799276040427,7611
inflammatory FAP,ITGA1,0.17338819021585566,7611
inflammatory FAP,ITGA5,1.5743821358494883,7611
inflammatory FAP,ITGB1,4.035099887545048,7611
inflammatory FAP,JAG1,0.7302812365196376,7611
inflammatory FAP,NOTCH1,0.03917970674653412,7611
inflammatory FAP,PDGFA,0.06146935868023552,7611
inflammatory FAP,PDGFB,0.0,7611
inflammatory FAP,PDGFRA,4.02084828846314,7611
inflammatory FAP,PDGFRB,2.5891315593267925,7611
inflammatory FAP,SPP1,0.0008517392768033633,7611
inflammatory FAP,TGFB1,0.6903533478343598,7611
inflammatory FAP,TGFBR1,0.5785103027300682,7611
inflammatory FAP,TGFBR2,4.406268363871525,7611
inflammatory FAP,TNF,0.01144806283965319,7611
inflammatory FAP,TNFRSF1A,3.278209645622694,7611
inflammatory FAP,WNT5A,0.7911889782714617,7611
macrophage_monocyte,CCL2,1.4472915546995138,9720
macrophage_monocyte,CCR2,0.3545614252886568,9720
macrophage_monocyte,CD44,4.967461870217856,9720
macrophage_monocyte,COL1A1,0.11972789169691629,9720
macrophage_monocyte,CXCL12,0.6767710308881131,9720
macrophage_monocyte,CXCR4,3.634498012965207,9720
macrophage_monocyte,FN1,0.4486320087929504,9720
macrophage_monocyte,FZD4,0.043268854070199037,9720
macrophage_monocyte,IL6,0.3758630160242215,9720
macrophage_monocyte,IL6R,1.564121644357306,9720
macrophage_monocyte,IL6ST,1.5515375768589044,9720
macrophage_monocyte,ITGA1,0.14999251157086438,9720
macrophage_monocyte,ITGA5,1.0276590164232902,9720
macrophage_monocyte,ITGB1,3.049127603306565,9720
macrophage_monocyte,JAG1,0.33224684850803393,9720
macrophage_monocyte,NOTCH1,0.48761209433966923,9720
macrophage_monocyte,PDGFA,0.06514546869188097,9720
macrophage_monocyte,PDGFB,0.37405053735201593,9720
macrophage_monocyte,PDGFRA,0.04658249091727837,9720
macrophage_monocyte,PDGFRB,0.14320233862836718,9720
macrophage_monocyte,SPP1,0.1802246025694198,9720
macrophage_monocyte,TGFB1,2.9477571577607864,9720
macrophage_monocyte,TGFBR1,0.9385889775240909,9720
macrophage_monocyte,TGFBR2,1.7371214173296554,9720
macrophage_monocyte,TNF,1.0104381829116726,9720
macrophage_monocyte,TNFRSF1A,2.609839413632586,9720
macrophage_monocyte,WNT5A,0.01646655180114709,9720
myonuclei_muscle_fiber,CCL2,0.03450408146104397,54077
myonuclei_muscle_fiber,CCR2,0.00233908605985766,54077
myonuclei_muscle_fiber,CD44,0.2192239257680664,54077
myonuclei_muscle_fiber,COL1A1,0.28618714599343914,54077
myonuclei_muscle_fiber,CXCL12,1.1398234272417804,54077
myonuclei_muscle_fiber,CXCR4,0.01813705829410155,54077
myonuclei_muscle_fiber,FN1,0.8348231573330259,54077
myonuclei_muscle_fiber,FZD4,0.6442254132051389,54077
myonuclei_muscle_fiber,IL6,0.0032519612156327454,54077
myonuclei_muscle_fiber,IL6R,0.9732220802046789,54077
myonuclei_muscle_fiber,IL6ST,1.7159025138850577,54077
myonuclei_muscle_fiber,ITGA1,0.30300246315056983,54077
myonuclei_muscle_fiber,ITGA5,0.18526119388187495,54077
myonuclei_muscle_fiber,ITGB1,1.624832279599497,54077
myonuclei_muscle_fiber,JAG1,0.2647498457137947,54077
myonuclei_muscle_fiber,NOTCH1,0.127434295982386,54077
myonuclei_muscle_fiber,PDGFA,0.4475695461395059,54077
myonuclei_muscle_fiber,PDGFB,0.11128408945066876,54077
myonuclei_muscle_fiber,PDGFRA,0.33798758415781355,54077
myonuclei_muscle_fiber,PDGFRB,0.4088158381685128,54077
myonuclei_muscle_fiber,SPP1,0.00069133794401311,54077
myonuclei_muscle_fiber,TGFB1,0.07629339915116821,54077
myonuclei_muscle_fiber,TGFBR1,0.26163699326434947,54077
myonuclei_muscle_fiber,TGFBR2,0.48672930596096875,54077
myonuclei_muscle_fiber,TNF,0.009515472782029539,54077
myonuclei_muscle_fiber,TNFRSF1A,0.5082156347380845,54077
myonuclei_muscle_fiber,WNT5A,0.10724402316801838,54077
satellite_cell,CCL2,3.198612315159484,2537
satellite_cell,CCR2,0.003084133200976594,2537
satellite_cell,CD44,2.6564684521288124,2537
satellite_cell,COL1A1,1.2200959524676651,2537
satellite_cell,CXCL12,1.062568632920575,2537
satellite_cell,CXCR4,2.1064633861075124,2537
satellite_cell,FN1,4.713455957596491,2537
satellite_cell,FZD4,0.4327330701468539,2537
satellite_cell,IL6,0.3163287741599974,2537
satellite_cell,IL6R,0.44215124286966034,2537
satellite_cell,IL6ST,3.285703968686027,2537
satellite_cell,ITGA1,0.48204560144123576,2537
satellite_cell,ITGA5,0.2736609232921634,2537
satellite_cell,ITGB1,4.393024497833089,2537
satellite_cell,JAG1,1.2982248262543947,2537
satellite_cell,NOTCH1,0.5126798481511321,2537
satellite_cell,PDGFA,1.3906269159579585,2537
satellite_cell,PDGFB,0.12019068950771747,2537
satellite_cell,PDGFRA,0.7112091804838089,2537
satellite_cell,PDGFRB,0.16896125543218754,2537
satellite_cell,SPP1,0.0,2537
satellite_cell,TGFB1,0.24973409790303736,2537
satellite_cell,TGFBR1,0.6517209903725698,2537
satellite_cell,TGFBR2,1.9565788073953496,2537
satellite_cell,TNF,0.019457991627902262,2537
satellite_cell,TNFRSF1A,1.5008126089791556,2537
satellite_cell,WNT5A,0.07453414538266893,2537
schwann_cell,CCL2,0.9960133841222846,1126
schwann_cell,CCR2,0.04477808295596574,1126
schwann_cell,CD44,1.2064954544612572,1126
schwann_cell,COL1A1,0.29332353540737777,1126
schwann_cell,CXCL12,0.237134550449131,1126
schwann_cell,CXCR4,2.15520689292098,1126
schwann_cell,FN1,0.7622824903796157,1126
schwann_cell,FZD4,0.054638774207362906,1126
schwann_cell,IL6,0.07951801331927251,1126
schwann_cell,IL6R,0.38608520159860193,1126
schwann_cell,IL6ST,2.2510696756694233,1126
schwann_cell,ITGA1,0.5762382303029131,1126
schwann_cell,ITGA5,0.33218559188741703,1126
schwann_cell,ITGB1,4.344399478342586,1126
schwann_cell,JAG1,0.3661447942916008,1126
schwann_cell,NOTCH1,0.45598061952044994,1126
schwann_cell,PDGFA,0.5598983109884971,1126
schwann_cell,PDGFB,0.09539084527738038,1126
schwann_cell,PDGFRA,0.12218767932812631,1126
schwann_cell,PDGFRB,0.258392576201786,1126
schwann_cell,SPP1,1.0647965528538763,1126
schwann_cell,TGFB1,1.4174644919145825,1126
schwann_cell,TGFBR1,0.6518580516666832,1126
schwann_cell,TGFBR2,0.9543259710483836,1126
schwann_cell,TNF,0.22263628997061602,1126
schwann_cell,TNFRSF1A,1.3850017017767406,1126
schwann_cell,WNT5A,0.020446530464991956,1126
smooth_muscle_pericyte,CCL2,3.5798670374910477,2946
smooth_muscle_pericyte,CCR2,0.0020628457281383966,2946
smooth_muscle_pericyte,CD44,2.4020422887528947,2946
smooth_muscle_pericyte,COL1A1,1.8258434336364373,2946
smooth_muscle_pericyte,CXCL12,2.432793070389611,2946
smooth_muscle_pericyte,CXCR4,0.39692406930879404,2946
smooth_muscle_pericyte,FN1,1.9898739639324414,2946
smooth_muscle_pericyte,FZD4,0.8000048185452701,2946
smooth_muscle_pericyte,IL6,1.003667665427036,2946
smooth_muscle_pericyte,IL6R,0.4229797133495883,2946
smooth_muscle_pericyte,IL6ST,2.4319811177368806,2946
smooth_muscle_pericyte,ITGA1,1.9022581954484825,2946
smooth_muscle_pericyte,ITGA5,0.4728178348421229,2946
smooth_muscle_pericyte,ITGB1,5.132820103737006,2946
smooth_muscle_pericyte,JAG1,2.081053377974546,2946
smooth_muscle_pericyte,NOTCH1,0.4233719222603423,2946
smooth_muscle_pericyte,PDGFA,0.8682712693446457,2946
smooth_muscle_pericyte,PDGFB,0.2547225184263724,2946
smooth_muscle_pericyte,PDGFRA,0.4910047815420876,2946
smooth_muscle_pericyte,PDGFRB,3.9554246786240435,2946
smooth_muscle_pericyte,SPP1,0.010539155723134007,2946
smooth_muscle_pericyte,TGFB1,0.4134805576391167,2946
smooth_muscle_pericyte,TGFBR1,0.5692835608480654,2946
smooth_muscle_pericyte,TGFBR2,1.8091158238473821,2946
smooth_muscle_pericyte,TNF,0.09676041317906764,2946
smooth_muscle_pericyte,TNFRSF1A,1.5567120360784859,2946
smooth_muscle_pericyte,WNT5A,0.14397923188975187,2946
t_cell,CCL2,0.1749394611525226,10116
t_cell,CCR2,0.30653437922087573,10116
t_cell,CD44,4.957426809703607,10116
t_cell,COL1A1,0.11367776805245931,10116
t_cell,CXCL12,0.04137666252763046,10116
t_cell,CXCR4,6.796764908230814,10116
t_cell,FN1,0.089786800072965,10116
t_cell,FZD4,0.0075352845441157374,10116
t_cell,IL6,0.03276613539572399,10116
t_cell,IL6R,0.314692399686627,10116
t_cell,IL6ST,1.037456807318021,10116
t_cell,ITGA1,0.16117686830010314,10116
t_cell,ITGA5,0.416285548080337,10116
t_cell,ITGB1,3.7090990054515887,10116
t_cell,JAG1,0.04633096311092012,10116
t_cell,NOTCH1,0.36748406365985364,10116
t_cell,PDGFA,0.055103555814550814,10116
t_cell,PDGFB,0.08350427351246759,10116
t_cell,PDGFRA,0.014483376664053239,10116
t_cell,PDGFRB,0.14422613208621282,10116
t_cell,SPP1,0.0037017289299512714,10116
t_cell,TGFB1,3.597920173136243,10116
t_cell,TGFBR1,0.6397271780683619,10116
t_cell,TGFBR2,1.37096690353889,10116
t_cell,TNF,1.4678352237929455,10116
t_cell,TNFRSF1A,0.6682549804617375,10116
t_cell,WNT5A,0.002653850974157457,10116
unassigned,CCL2,0.1231487925514539,1405
unassigned,CCR2,0.006158302157958443,1405
unassigned,CD44,3.11662203665575,1405
unassigned,COL1A1,0.014054344686345165,1405
unassigned,CXCL12,0.01001565066110896,1405
unassigned,CXCR4,4.071164537925211,1405
unassigned,FN1,0.1305735344425986,1405
unassigned,FZD4,0.07249058725261714,1405
unassigned,IL6,0.039198908728989144,1405
unassigned,IL6R,1.3421099946041897,1405
unassigned,IL6ST,0.3578708651745554,1405
unassigned,ITGA1,0.08067536113426722,1405
unassigned,ITGA5,0.5643712961462256,1405
unassigned,ITGB1,0.857836844767653,1405
unassigned,JAG1,0.05644994884448335,1405
unassigned,NOTCH1,0.397996860625663,1405
unassigned,PDGFA,0.03628134958693189,1405
unassigned,PDGFB,0.013110947141603584,1405
unassigned,PDGFRA,0.005032571742030839,1405
unassigned,PDGFRB,0.009774709600499717,1405
unassigned,SPP1,0.0,1405
unassigned,TGFB1,1.6015349855458525,1405
unassigned,TGFBR1,0.8360977593507618,1405
unassigned,TGFBR2,0.45544096789429533,1405
unassigned,TNF,0.22639419998970053,1405
unassigned,TNFRSF1A,1.9333877306720861,1405
unassigned,WNT5A,0.018143518883634423,1405
